"carat","cut","color","clarity","depth","table","price","x","y","z"
1.09,"Ideal","J","VS2",61.3,57,4131,6.63,6.61,4.06
1.01,"Ideal","G","SI1",61.1,58,5497,6.43,6.49,3.95
0.42,"Premium","G","VS2",62,58,1087,4.81,4.77,2.97
0.58,"Ideal","E","SI1",61.6,55,1758,5.38,5.33,3.3
0.9,"Very Good","G","VS2",61.9,56,4269,6.17,6.23,3.84
1.35,"Premium","H","VS2",61.5,58,7918,7.09,7.15,4.38
1,"Good","G","VS2",63.1,58,5621,6.31,6.39,4.01
0.73,"Ideal","H","VS2",61.4,55,3164,5.79,5.82,3.56
0.4,"Ideal","E","SI1",62,57,737,4.74,4.78,2.95
1.52,"Ideal","I","IF",62.2,57,10609,7.33,7.27,4.54
0.41,"Good","F","VVS2",58.6,60,1172,4.83,4.87,2.84
1.5,"Premium","E","SI2",58,60,8190,7.52,7.47,4.35
0.9,"Premium","D","VVS1",61.3,59,7711,6.18,6.12,3.77
0.5,"Ideal","D","VS2",62.4,55,1635,5.1,5.13,3.19
1.01,"Very Good","F","SI1",61.9,58,5383,6.41,6.44,3.98
0.4,"Ideal","D","VS2",61.7,56,1172,4.72,4.74,2.92
0.32,"Premium","E","SI1",61.9,59,561,4.36,4.39,2.71
0.3,"Ideal","H","SI1",62.2,57,450,4.27,4.31,2.67
1,"Good","E","VS2",63.1,56,6776,6.37,6.41,4.03
0.54,"Ideal","G","IF",61.5,56,2177,5.28,5.25,3.24
1.08,"Ideal","H","SI2",60.4,57,4536,6.68,6.63,4.02
0.3,"Ideal","F","VS2",61.8,57,605,4.31,4.33,2.67
1.01,"Very Good","H","SI1",63.5,57,4659,6.31,6.35,4.02
0.7,"Ideal","G","SI2",62.7,57,2177,5.62,5.6,3.52
0.71,"Ideal","D","SI1",61.8,56,3502,5.72,5.76,3.54
0.3,"Very Good","D","VS1",61.2,55,610,4.32,4.34,2.65
1.51,"Premium","E","VS2",60.1,58,15025,7.57,7.51,4.53
1.05,"Ideal","G","SI1",62.3,55,5361,6.47,6.54,4.05
0.71,"Very Good","F","SI1",62.3,60,2436,5.65,5.68,3.53
1.03,"Premium","G","VS1",60.7,58,6749,6.55,6.5,3.96
0.53,"Ideal","D","SI1",62.3,56,1683,5.18,5.15,3.22
1,"Premium","H","SI1",62.4,59,4816,6.42,6.37,3.99
1.51,"Fair","H","VS2",64.9,53,7534,7.28,7.24,4.71
0.36,"Good","D","SI1",63.1,55,663,4.54,4.59,2.88
0.72,"Ideal","G","VS1",61.7,56,3478,5.75,5.78,3.56
0.34,"Premium","E","SI2",61.5,58,612,4.52,4.49,2.77
0.64,"Very Good","F","SI1",60.7,59,1688,5.51,5.59,3.37
1.05,"Ideal","I","SI1",60.4,57,3822,6.6,6.58,3.98
1.14,"Premium","H","VS2",61.3,59,5858,6.76,6.72,4.13
0.8,"Fair","H","VS2",65.3,58,2686,5.78,5.73,3.76
1.32,"Premium","I","SI2",61.3,59,5588,7.01,6.95,4.28
1.22,"Premium","F","VS2",63,60,7154,6.85,6.74,4.28
1.08,"Good","E","SI2",63.7,57,4656,6.49,6.54,4.15
1.11,"Very Good","F","SI1",60.1,61,5384,6.64,6.74,4.06
0.26,"Very Good","E","VS1",60.7,59,453,4.09,4.12,2.49
0.72,"Very Good","E","SI2",63.5,59,2376,5.66,5.61,3.58
1.07,"Ideal","H","SI1",61.5,56,5065,6.6,6.66,4.08
0.36,"Good","E","VVS1",58.2,56,923,4.68,4.74,2.74
0.36,"Very Good","F","VS1",61.3,54,781,4.63,4.65,2.84
0.4,"Ideal","D","SI1",59.6,57,990,4.82,4.77,2.86
1.7,"Premium","H","SI2",62.1,56,7673,7.66,7.55,4.72
0.38,"Premium","D","SI1",60.7,60,941,4.69,4.63,2.83
0.33,"Ideal","F","VVS1",62.1,56,1062,4.46,4.43,2.76
1.63,"Ideal","G","VS1",61.7,55,15697,7.56,7.6,4.68
0.44,"Premium","E","VS2",60.4,58,1073,4.93,4.87,2.96
2,"Good","I","SI2",64.2,52,11400,7.91,7.88,5.07
0.31,"Premium","H","VVS1",61.8,58,707,4.3,4.34,2.67
1.17,"Ideal","G","VS1",59.4,57,7155,6.93,6.87,4.1
0.3,"Premium","H","VS1",62.4,60,630,4.29,4.23,2.66
0.31,"Ideal","D","VS2",61.9,56,734,4.34,4.38,2.7
0.41,"Ideal","G","VS2",62.7,55,827,4.75,4.79,2.99
1,"Ideal","F","VVS2",61.3,53,10577,6.44,6.48,3.96
0.7,"Premium","E","SI1",61,57,2777,5.73,5.68,3.48
1.07,"Premium","I","SI1",58.4,60,4075,6.78,6.68,3.93
0.43,"Ideal","G","VS1",61.1,56,1008,4.9,4.86,2.98
1.07,"Ideal","H","SI2",59.2,57,4314,6.7,6.64,3.95
0.77,"Very Good","F","VVS2",63.5,59,3415,5.77,5.72,3.65
0.72,"Premium","E","SI2",62.6,59,2376,5.74,5.7,3.58
0.3,"Ideal","F","VVS1",62,58,814,4.26,4.29,2.65
0.2,"Premium","D","VS2",61.7,60,367,3.77,3.72,2.31
0.55,"Ideal","E","VVS2",61.1,57,2664,5.3,5.33,3.24
0.32,"Very Good","I","VS2",61.1,57,449,4.39,4.42,2.69
1.06,"Premium","I","SI1",62.9,60,4155,6.47,6.43,4.06
0.29,"Ideal","H","VVS2",61.7,56,511,4.29,4.33,2.66
0.31,"Premium","G","VVS1",60.2,59,816,4.38,4.43,2.65
0.37,"Very Good","E","VS1",62,56,925,4.59,4.63,2.86
1.12,"Very Good","H","SI2",62.5,58,4373,6.58,6.63,4.13
1.51,"Premium","E","SI2",58.8,62,8879,7.5,7.41,4.39
0.32,"Ideal","G","VVS1",60.2,56,842,4.45,4.49,2.69
0.79,"Very Good","F","VS1",58.6,57,3398,6.08,6.14,3.58
0.42,"Ideal","F","SI2",61.7,54,626,4.85,4.87,3
0.9,"Good","G","SI2",63.8,59,3246,6.05,6.02,3.85
0.34,"Very Good","G","VVS2",61.7,56,775,4.47,4.51,2.77
1.01,"Premium","G","VS1",62.6,59,6618,6.43,6.38,4.01
0.35,"Ideal","E","SI1",61.2,57,788,4.56,4.52,2.78
1.36,"Very Good","J","SI2",62.6,58,5215,7,7.12,4.42
0.7,"Premium","F","SI2",59.1,58,2362,5.85,5.83,3.45
0.3,"Good","H","SI1",63.7,56,421,4.2,4.22,2.68
0.32,"Very Good","H","SI1",61.9,58,449,4.34,4.38,2.7
1.01,"Ideal","D","SI1",62.2,54,6257,6.42,6.45,4
0.23,"Very Good","E","VVS2",60,56,530,4.03,4.07,2.43
0.51,"Ideal","D","VS2",62.4,55,1678,5.12,5.14,3.2
1.28,"Ideal","G","SI2",61.4,57,5888,6.96,6.99,4.28
2.26,"Very Good","H","SI2",63.3,59,13923,8.35,8.26,5.25
0.38,"Ideal","D","VVS2",60.7,55,1289,4.69,4.71,2.85
2.19,"Very Good","I","SI1",62.6,58,14819,8.24,8.33,5.19
0.73,"Very Good","G","SI1",59.8,61,2330,5.83,5.85,3.49
0.71,"Very Good","I","VVS1",63,58,2549,5.6,5.67,3.55
0.41,"Ideal","J","VS1",60.2,57,647,4.81,4.85,2.91
0.41,"Very Good","F","SI1",62.5,58,702,4.74,4.77,2.97
1.73,"Premium","J","SI1",60.7,58,9105,7.73,7.78,4.71
0.26,"Very Good","E","VVS2",64.3,57,547,3.99,4.03,2.58
1.5,"Premium","F","VS2",61.5,58,14199,7.36,7.34,4.52
0.5,"Good","F","VS2",63.2,56,1436,5.01,5.05,3.18
0.4,"Ideal","I","VVS2",61.8,56,970,4.76,4.79,2.95
0.61,"Ideal","D","VVS2",62.2,54,3397,5.41,5.45,3.38
0.41,"Very Good","I","VVS1",61.9,57,863,4.78,4.82,2.97
0.51,"Ideal","F","VS2",61.3,56,1562,5.14,5.11,3.14
1.04,"Ideal","H","VS2",59.3,57,5416,6.64,6.58,3.92
1.26,"Ideal","I","VS2",62.6,55,6350,6.96,6.91,4.34
0.42,"Ideal","G","VS1",61.8,57,984,4.82,4.79,2.97
1.51,"Fair","H","VS2",57.4,61,9678,7.49,7.63,4.34
2.13,"Premium","H","SI2",62.4,56,12753,8.26,8.19,5.13
0.41,"Premium","D","SI2",62.7,58,876,4.78,4.75,2.99
0.62,"Ideal","H","VVS2",62,56,2052,5.46,5.48,3.39
1.03,"Very Good","H","SI1",61.1,59,4520,6.5,6.56,3.99
0.52,"Premium","F","SI1",61.5,60,1280,5.16,5.15,3.17
1.22,"Ideal","I","SI2",61.8,57,4612,6.9,6.83,4.23
0.33,"Very Good","G","VS2",62.6,56,579,4.38,4.41,2.75
0.32,"Ideal","F","VS2",61.5,55,828,4.42,4.4,2.71
0.4,"Premium","H","VS1",62.6,58,1035,4.73,4.66,2.94
1.03,"Ideal","G","VS1",61.4,55,7481,6.5,6.53,4
1.58,"Good","I","VS1",58.6,62,9775,7.59,7.66,4.47
1.23,"Ideal","H","VVS2",61.3,55,7387,6.9,6.94,4.24
2,"Very Good","J","SI1",61.9,59,11404,7.96,8,4.94
0.34,"Ideal","D","VS2",62.5,57,805,4.4,4.47,2.77
1.59,"Very Good","I","SI2",61.9,58,7345,7.46,7.5,4.63
1.21,"Premium","F","VS2",62.2,60,9419,6.75,6.72,4.19
1.24,"Premium","H","SI2",60.4,59,5277,6.99,6.92,4.2
1.07,"Very Good","G","VS2",60.9,58,6355,6.56,6.6,4.01
0.43,"Ideal","H","VVS1",62.3,54,1094,4.84,4.85,3.02
0.41,"Ideal","H","IF",61.8,55,1100,4.79,4.82,2.97
0.3,"Ideal","F","IF",62.2,56,886,4.31,4.34,2.69
0.61,"Ideal","H","VS1",61.6,56.9,1706,5.4,5.49,3.36
0.27,"Very Good","F","VVS2",61.3,62,552,4.15,4.2,2.56
0.51,"Ideal","D","VS2",61.8,55,1787,5.1,5.16,3.17
0.9,"Ideal","G","SI1",62.1,56,4161,6.16,6.2,3.84
0.9,"Premium","H","VS2",61.8,58,4082,6.17,6.12,3.8
0.5,"Very Good","E","SI1",62.6,56,1222,5.06,5.07,3.17
0.8,"Premium","G","VS1",62.5,58,3514,5.9,5.94,3.7
0.3,"Ideal","D","VVS2",59.5,56,741,4.38,4.42,2.62
1.57,"Ideal","I","SI1",62.2,56,10633,7.42,7.47,4.63
0.43,"Ideal","F","VVS2",61.9,56,1250,4.87,4.82,3
0.3,"Good","H","SI1",63.8,55,432,4.2,4.26,2.7
1.04,"Very Good","F","SI2",60,61,4427,6.5,6.57,3.92
1.24,"Premium","J","VS2",62,58,5128,6.87,6.91,4.27
0.34,"Ideal","H","VS2",61.7,57,689,4.48,4.46,2.76
0.91,"Premium","G","VS2",59.5,58,4241,6.34,6.26,3.75
0.3,"Ideal","F","IF",61.8,56,886,4.29,4.32,2.66
1.06,"Premium","G","SI1",62.2,57,5113,6.53,6.47,4.04
1.53,"Ideal","D","SI1",61.2,56,13714,7.48,7.45,4.57
1.02,"Premium","G","VS2",61.5,59,5250,6.4,6.45,3.95
1.5,"Ideal","H","VS1",61,56.8,11557,7.36,7.4,4.5
0.71,"Good","E","SI1",63.2,57,2494,5.67,5.72,3.6
0.7,"Premium","H","SI2",62.9,61,1942,5.57,5.53,3.49
2.06,"Ideal","H","SI2",61.5,56,12119,8.23,8.18,5.04
0.56,"Very Good","H","SI2",62,63,956,5.26,5.21,3.27
0.38,"Very Good","F","SI1",61.7,58,672,4.66,4.73,2.89
1.6,"Ideal","I","SI2",61.9,57,8377,7.48,7.51,4.64
0.7,"Ideal","F","VS2",61.8,54,2671,5.68,5.71,3.52
2.2,"Ideal","I","SI1",61.7,55,17895,8.37,8.41,5.18
0.7,"Ideal","D","SI1",60.7,56,2822,5.75,5.72,3.48
0.93,"Fair","I","VS2",64.7,58,3258,6.09,6.06,3.93
1,"Premium","F","SI1",62.6,60,5292,6.32,6.3,3.95
1.01,"Ideal","G","VS1",62.4,56,6066,6.37,6.42,3.99
0.3,"Premium","J","VS2",60.6,59,473,4.38,4.34,2.64
0.57,"Very Good","G","VS2",62.1,57,1608,5.27,5.3,3.28
1.01,"Very Good","E","VS2",59.5,60,7290,6.5,6.54,3.88
1,"Good","G","VS2",63.5,59,5860,6.23,6.33,3.99
0.54,"Ideal","G","VS2",61.5,55,1422,5.24,5.27,3.23
0.91,"Ideal","E","SI1",61,57,4706,6.27,6.32,3.84
1.2,"Ideal","I","I1",61.9,56,3505,6.82,6.85,4.23
0.73,"Ideal","H","VS2",62.5,58,2752,5.71,5.75,3.58
2.23,"Very Good","G","I1",63.5,57,7006,8.24,8.2,5.22
1.01,"Premium","G","VS1",62.7,58,6618,6.41,6.38,4.01
0.36,"Ideal","D","SI1",61.6,56,851,4.58,4.54,2.81
0.55,"Ideal","E","VVS1",62.9,57,2609,5.25,5.21,3.29
0.75,"Ideal","G","SI1",61.8,55,3171,5.81,5.84,3.6
0.74,"Ideal","E","VS2",61.7,56,3315,5.86,5.81,3.6
0.35,"Ideal","E","VVS1",61.7,54,1000,4.56,4.58,2.82
0.52,"Ideal","E","VVS2",62.3,57,2116,5.12,5.15,3.2
0.5,"Ideal","D","VS2",61.7,56,1844,5.12,5.14,3.16
0.31,"Ideal","I","SI1",62.7,56,523,4.34,4.3,2.71
1.75,"Good","H","SI2",64.1,56,8385,7.59,7.55,4.85
1.07,"Premium","G","VS2",62.1,58,6471,6.59,6.55,4.08
1.1,"Ideal","G","VS2",60.9,56,6939,6.68,6.79,4.1
0.31,"Ideal","F","VVS1",61.9,53.5,882,4.36,4.39,2.71
2.03,"Premium","G","SI1",61.3,59,18423,8.11,8.08,4.96
0.73,"Very Good","E","VS1",63,60,3607,5.68,5.72,3.59
1.01,"Good","G","VS1",63.7,56,6529,6.37,6.29,4.03
0.92,"Ideal","E","SI1",62.1,56,5516,6.22,6.24,3.87
0.34,"Ideal","F","VS1",62.2,56,956,4.47,4.44,2.77
0.51,"Very Good","D","VS2",63.1,56,1658,5.06,5.12,3.21
1,"Premium","F","VS2",61.9,59,5606,6.38,6.34,3.94
0.75,"Ideal","E","VS2",61.6,57,2940,5.84,5.81,3.59
1.13,"Premium","H","VS2",61.7,56,5728,6.73,6.65,4.13
1.55,"Premium","J","VS2",60.7,59,8055,7.5,7.47,4.54
0.31,"Very Good","E","VVS2",61.1,55,766,4.39,4.41,2.69
0.31,"Ideal","G","VVS1",60.6,57,1046,4.4,4.38,2.66
1.2,"Ideal","H","VS2",63,56,5833,6.74,6.65,4.22
0.94,"Premium","E","SI1",62.4,56,4580,6.27,6.24,3.9
0.3,"Premium","D","VS1",61.9,58,712,4.28,4.32,2.66
1.01,"Good","E","SI1",64,56,5646,6.33,6.36,4.06
0.3,"Good","H","VS1",63.2,58,491,4.22,4.26,2.68
0.71,"Premium","E","SI1",60.3,60,2674,5.77,5.74,3.47
0.42,"Premium","E","SI1",60,61,953,4.88,4.85,2.92
0.58,"Ideal","I","SI1",62.2,54,1132,5.35,5.39,3.34
0.43,"Very Good","E","SI2",61.8,60,688,4.83,4.85,2.99
0.54,"Ideal","F","VS1",61.1,55,2083,5.26,5.32,3.23
1.9,"Very Good","J","SI1",59.2,58,9540,8.1,8.21,4.83
1.2,"Good","G","SI2",63.6,54,5141,6.75,6.71,4.28
1.53,"Good","E","SI2",57.1,56,7643,7.69,7.65,4.38
0.35,"Ideal","D","VS2",62.5,56,790,4.51,4.55,2.83
0.71,"Fair","G","SI2",64.8,58,2055,5.6,5.57,3.62
1.11,"Premium","G","VS2",62.3,58,6713,6.65,6.61,4.13
0.95,"Ideal","G","SI1",60.7,56,4469,6.31,6.27,3.82
0.31,"Very Good","E","VVS1",61.2,61,763,4.33,4.36,2.66
0.31,"Ideal","G","VS2",62.1,54,511,4.34,4.36,2.7
0.3,"Premium","E","VS2",59.1,58,844,4.39,4.37,2.59
1.01,"Premium","G","SI2",62.9,57,3750,6.39,6.33,4
1.62,"Ideal","H","VS2",61.5,61,12542,7.53,7.48,4.62
0.26,"Ideal","E","VVS1",62.5,56,657,4.09,4.12,2.56
1,"Very Good","E","SI1",62.4,59,5571,6.36,6.42,3.99
1.2,"Premium","J","SI1",60.7,60,4514,6.88,6.92,4.19
1.24,"Good","G","SI2",63.7,60,4861,6.77,6.7,4.3
0.55,"Ideal","F","VS2",60.9,57,1702,5.3,5.34,3.24
